observation_date,MICH
2003-01-01,2.8
2003-04-01,2.2
2003-07-01,2.3
2003-10-01,2.6
2004-01-01,2.7
2004-04-01,3.3
2004-07-01,2.9
2004-10-01,3.0
2005-01-01,3.0
2005-04-01,3.2
2005-07-01,3.5
2005-10-01,3.7
2006-01-01,3.0
2006-04-01,3.5
2006-07-01,3.4
2006-10-01,3.0
2007-01-01,3.0
2007-04-01,3.3
2007-07-01,3.2
2007-10-01,3.3
2008-01-01,3.8
2008-04-01,5.0
2008-07-01,4.7
2008-10-01,2.8
2009-01-01,2.0
2009-04-01,2.9
2009-07-01,2.6
2009-10-01,2.7
2010-01-01,2.7
2010-04-01,3.0
2010-07-01,2.5
2010-10-01,2.9
2011-01-01,3.8
2011-04-01,4.2
2011-07-01,3.4
2011-10-01,3.2
2012-01-01,3.5
2012-04-01,3.1
2012-07-01,3.3
2012-10-01,3.1
2013-01-01,3.3
2013-04-01,3.1
2013-07-01,3.1
2013-10-01,3.0
2014-01-01,3.2
2014-04-01,3.2
2014-07-01,3.2
2014-10-01,2.8
2015-01-01,2.8
2015-04-01,2.7
2015-07-01,2.8
2015-10-01,2.7
2016-01-01,2.6
2016-04-01,2.6
2016-07-01,2.5
2016-10-01,2.3
2017-01-01,2.6
2017-04-01,2.6
2017-07-01,2.6
2017-10-01,2.5
2018-01-01,2.7
2018-04-01,2.8
2018-07-01,2.9
2018-10-01,2.8
2019-01-01,2.6
2019-04-01,2.7
2019-07-01,2.7
2019-10-01,2.4
2020-01-01,2.4
2020-04-01,2.8
2020-07-01,2.9
2020-10-01,2.6
2021-01-01,3.1
2021-04-01,4.1
2021-07-01,4.6
2021-10-01,4.8
2022-01-01,5.1
2022-04-01,5.3
2022-07-01,4.9
2022-10-01,4.8
2023-01-01,3.9
2023-04-01,4.1
2023-07-01,3.4
2023-10-01,3.9
2024-01-01,2.9
2024-04-01,3.2
2024-07-01,2.8
2024-10-01,2.7
